id,First_Name,Last_Name,Email,Gender,Age,Date Sign Up,Cancellation Date,TrainerYN,Membership_Plan,How_Hear_About
1,Edik,Tollerton,etollerton0@barnesandnoble.com,Other,89,11/18/2021,5/24/2017,FALSE,$30,Internet search
2,Frank,Bowmaker,fbowmaker1@flavors.me,Male,73,12/25/2015,8/8/2022,TRUE,$15,Television
3,Beulah,Ochiltree,bochiltree2@engadget.com,Female,45,2/6/2015,4/18/2023,FALSE,$30,Internet search
4,Gram,Matcham,gmatcham3@hp.com,Female,71,10/4/2018,7/8/2022,FALSE,$30,Word of mouth
5,Martin,Goffe,mgoffe4@imgur.com,Male,68,12/16/2022,7/4/2022,FALSE,$60,Social media
6,Adrienne,Pardue,apardue5@mtv.com,Other,77,2/11/2018,11/12/2017,FALSE,$30,Internet search
7,Joyce,Givens,jgivens6@miitbeian.gov.cn,Other,46,4/10/2015,5/18/2018,TRUE,$15,Print media
8,Vachel,Beddall,vbeddall7@jalbum.net,Male,25,4/25/2022,2/4/2016,FALSE,$30,Radio
9,Eydie,McCathay,emccathay8@sbwire.com,Other,64,9/16/2018,9/15/2018,FALSE,$15,Print media
10,Shani,Fenner,sfenner9@usa.gov,Female,61,8/6/2022,2/24/2018,TRUE,$30,Internet search
11,Pia,Riccardi,priccardia@noaa.gov,Female,81,1/3/2024,11/24/2019,TRUE,$30,Word of mouth
12,Sharon,Vittet,svittetb@soundcloud.com,Other,24,12/12/2018,6/9/2014,FALSE,$60,Email newsletter
13,Kare,Maggiore,kmaggiorec@blogtalkradio.com,Female,54,3/4/2016,2/12/2018,FALSE,$15,Internet search
14,Patin,Wisdom,pwisdomd@buzzfeed.com,Female,73,9/3/2023,,TRUE,$60,Television
15,Gretna,Millward,gmillwarde@blogs.com,Male,31,2/3/2019,8/10/2023,FALSE,$15,Event
16,Ysabel,Drewet,ydrewetf@loc.gov,Other,50,2/1/2019,11/19/2019,TRUE,$60,Social media
17,Vivi,Drust,vdrustg@chicagotribune.com,Female,19,6/17/2023,9/28/2019,TRUE,$60,Radio
18,Keri,Harriagn,kharriagnh@cocolog-nifty.com,Other,92,10/14/2022,12/19/2021,TRUE,$15,Word of mouth
19,Gabby,Antonias,gantoniasi@youtu.be,Other,22,12/14/2022,3/16/2018,FALSE,$30,Radio
20,Hill,Tripean,htripeanj@twitter.com,Female,52,8/10/2016,2/23/2023,FALSE,$60,Word of mouth
21,Wilma,Stirling,wstirlingk@linkedin.com,Female,21,9/19/2017,3/5/2018,TRUE,$60,Email newsletter
22,Dionysus,Longshaw,dlongshawl@cnbc.com,Male,72,7/23/2017,9/25/2018,TRUE,$30,and Other
23,Sinclair,Mance,smancem@constantcontact.com,Other,34,12/14/2014,1/10/2018,FALSE,$15,Word of mouth
24,Cedric,Daniels,cdanielsn@latimes.com,Other,96,9/6/2018,,FALSE,$30,Advertisement
25,Fairlie,Mavin,fmavino@posterous.com,Other,29,1/17/2016,3/7/2019,TRUE,$30,Advertisement
26,Kippy,Gatfield,kgatfieldp@macromedia.com,Other,30,9/10/2023,,FALSE,$30,Advertisement
27,Sauveur,Binnes,sbinnesq@sphinn.com,Male,42,8/31/2016,3/19/2023,TRUE,$60,Television
28,Siward,Barts,sbartsr@cnn.com,Female,69,7/23/2022,2/11/2016,TRUE,$30,Print media
