id,First_Name,Last_Name,email,gender,Age,Date_SignUp,Date_Cancellation,TrainerYN,Membership_Plan,How_Hear_About
1,Christophe,Fowells,cfowells0@stumbleupon.com,Female,40,1/22/2019,,No,$60 ,Word of mouth
2,Tanny,McCaskill,tmccaskill1@youtube.com,Male,50,9/19/2021,4/4/2023,No,$30 ,Other
3,Nichols,Coatts,ncoatts2@drupal.org,Female,48,11/2/2019,7/2/2020,No,$15 ,Television
4,Corie,Burl,cburl3@netlog.com,Female,47,5/4/2015,5/27/2015,No,$30 ,Radio
5,Alexis,Ridgeway,aridgeway4@engadget.com,Female,65,7/22/2020,4/11/2015,No,$30 ,Advertisement
6,Vivienne,Keepin,vkeepin5@artisteer.com,Female,41,1/31/2021,12/5/2014,No,$30 ,Internet search
7,Nikos,Carrabott,ncarrabott6@ycombinator.com,Male,83,2/7/2019,10/13/2018,No,$15 ,Event
8,Loralyn,Adne,ladne7@ezinearticles.com,Female,86,7/10/2017,12/26/2014,No,$30 ,Radio
9,Florida,Whittuck,fwhittuck8@unicef.org,Female,35,7/19/2020,7/31/2017,No,$60 ,Social media
10,Nike,Cleworth,ncleworth9@examiner.com,Male,43,11/9/2021,7/11/2021,No,$30 ,Print media
11,Gay,Tebbut,gtebbuta@ocn.ne.jp,Other,76,6/30/2020,,Yes,$60 ,Radio
12,Denny,Glencorse,dglencorseb@cnbc.com,Other,28,5/13/2023,2/24/2021,No,$15 ,Other
13,Errick,Shipley,eshipleyc@wordpress.com,Female,26,2/13/2016,7/20/2023,Yes,$30 ,Email newsletter
14,Zsazsa,Minero,zminerod@parallels.com,Female,85,6/30/2014,10/3/2019,No,$60 ,Other
15,Shay,Van der Brug,svanderbruge@amazon.de,Male,50,12/8/2022,,No,$30 ,Television
16,Carma,Hendonson,chendonsonf@go.com,Female,72,12/8/2020,3/19/2023,No,$30 ,Event
17,Vita,Whiteoak,vwhiteoakg@foxnews.com,Female,94,3/15/2022,7/19/2015,No,$15 ,Event
18,Tymothy,Witard,twitardh@sitemeter.com,Female,26,11/20/2019,10/10/2016,No,$15 ,Print media
19,Felicdad,Roches,frochesi@github.io,Male,20,11/9/2016,11/21/2017,No,$60 ,Event
20,Nye,Bariball,nbariballj@amazon.com,Male,92,9/5/2016,,Yes,$15 ,Television
21,Gerrilee,Jagels,gjagelsk@unblog.fr,Female,61,11/13/2018,,No,$30 ,Email newsletter
22,Gale,De Atta,gdeattal@ucsd.edu,Female,92,1/30/2015,2/12/2017,No,$60 ,Event
23,Aguistin,Hazeman,ahazemanm@abc.net.au,Female,22,6/19/2019,8/24/2017,No,$15 ,Radio
24,Tilda,Maier,tmaiern@hugedomains.com,Female,32,3/17/2018,1/2/2022,No,$30 ,Television
25,Demetris,Taleworth,dtalewortho@sfgate.com,Male,27,8/14/2014,,No,$15 ,Social media
26,Cherilynn,Fishbie,cfishbiep@slideshare.net,Female,46,11/18/2021,1/17/2016,No,$15 ,Advertisement
27,Randy,Millan,rmillanq@homestead.com,Male,67,9/18/2018,6/16/2017,No,$30 ,Radio
28,Sheilah,Selbie,sselbier@cisco.com,Female,73,11/27/2021,11/23/2014,No,$15 ,Radio
29,Carr,Kick,ckicks@cafepress.com,Female,50,2/3/2019,11/11/2014,No,$30 ,Print media
30,Amitie,Lowth,alowtht@artisteer.com,Female,20,3/19/2016,12/21/2019,No,$30 ,Internet search
31,Erma,Potell,epotellu@jiathis.com,Male,47,4/17/2021,4/28/2016,No,$15 ,Email newsletter
32,Ignatius,Haggerty,ihaggertyv@cmu.edu,Female,74,8/13/2015,,No,$15 ,Print media
33,Quillan,Diggens,qdiggensw@latimes.com,Female,34,5/6/2022,,Yes,$60 ,Other
34,Maris,Fibben,mfibbenx@uol.com.br,Male,44,1/8/2015,5/27/2014,No,$15 ,Print media
35,Natalie,Grattan,ngrattany@weather.com,Male,68,12/4/2016,5/1/2019,No,$15 ,Print media
36,Delilah,Salvidge,dsalvidgez@tuttocitta.it,Female,31,6/27/2020,1/16/2020,No,$15 ,Other
37,Waldon,Priestman,wpriestman10@wired.com,Male,58,12/6/2015,2/12/2024,Yes,$30 ,Internet search
