Employee_ID,First_Name,Last_Name,Email,Phone_Number,Address,Gender,Age,Race,Emergency_Number,Salary,Hire_Date,Vacation_Days
77-2881520,Fannie,Busen,fbusen0@cpanel.net,313-117-0973,855 Loftsgordon Circle,Female,37,Asian,865-810-3014,82565,2/16/2019,6
80-6672554,Mahmoud,Lineen,mlineen1@sciencedaily.com,421-145-9471,7013 Oak Junction,Male,39,Black,497-516-4762,69978,7/1/2018,16
14-1699323,Butch,Craigmile,bcraigmile2@vimeo.com,625-493-0725,90438 Drewry Road,Male,77,Caucasian,442-107-0689,56408,10/16/2014,5
68-0783753,Fleurette,McGing,fmcging3@gizmodo.com,723-238-4170,7 1st Trail,Male,40,Black,252-799-5845,43349,6/11/2023,11
05-5045425,Raine,Seadon,rseadon4@boston.com,583-676-9020,771 Dexter Alley,Male,30,Latino,225-961-0501,63759,7/16/2016,4
75-2231663,Merv,Aulds,maulds5@a8.net,223-824-2788,125 Iowa Hill,Male,39,Black,763-981-4817,77558,5/11/2014,4
01-0282924,Cookie,Piniur,cpiniur6@hugedomains.com,517-981-6565,1 Center Parkway,Female,40,Black,818-390-7672,41974,12/5/2018,8
48-7657575,Ermina,Gillean,egillean7@amazon.de,168-829-5692,4554 Carioca Park,Male,58,Caucasian,215-388-0047,69812,7/20/2020,11
00-9767771,Della,Dyzart,ddyzart8@latimes.com,506-395-2693,40 Mosinee Center,Male,37,Asian,734-832-3302,81114,9/2/2014,16
83-5212913,Miran,Roman,mroman9@edublogs.org,812-434-7151,43 Scoville Terrace,Male,74,Black,377-480-7449,56038,3/24/2021,15
38-3532384,Adelbert,Knaggs,aknaggsa@oracle.com,697-963-8157,70426 Kenwood Junction,Female,61,Asian,607-232-8701,45039,5/18/2016,11
50-2245057,Merill,Beer,mbeerb@feedburner.com,215-871-8282,2183 Aberg Place,Male,32,Latino,545-705-9098,53361,10/31/2017,12
67-6531311,Cara,Aggett,caggettc@sun.com,898-713-2366,9 Gale Street,Male,43,Latino,151-937-6668,78617,7/16/2022,4
66-2933576,Jorry,Livermore,jlivermored@github.com,264-543-8658,68095 Express Crossing,Male,32,Black,100-591-2396,72139,2/25/2021,6
93-5597087,Davidson,Morales,dmoralese@paypal.com,259-633-8741,89 Hollow Ridge Circle,Other,61,Caucasian,734-580-3776,68646,11/6/2022,12
06-9311997,Duane,Furze,dfurzef@weibo.com,436-603-2882,06801 Armistice Crossing,Other,30,Black,170-612-0092,76428,1/22/2014,7
24-1768599,Baily,Lago,blagog@pen.io,215-447-3019,2339 Redwing Lane,Female,64,Asian,119-772-1273,67634,3/13/2021,9
66-1331083,Steffie,Pinor,spinorh@webnode.com,421-318-0161,2997 Lakewood Gardens Point,Female,55,Caucasian,193-645-6476,47115,10/9/2017,3
88-1601506,Wilburt,Quesne,wquesnei@scribd.com,466-253-6992,04 John Wall Pass,Female,47,Black,363-977-2507,40891,9/17/2023,8
83-0078655,Chlo,Marlowe,cmarlowej@ucoz.com,656-614-2525,86 Russell Alley,Male,53,Latino,593-107-2325,38740,6/29/2019,11
86-3859226,Isac,Russ,irussk@reference.com,701-683-9023,353 Dryden Pass,Male,26,Caucasian,528-864-8181,58450,9/11/2021,9
29-0509152,Zeke,Patsall,zpatsalll@cbc.ca,933-833-3106,9132 Welch Road,Male,64,Caucasian,942-810-6266,81060,9/13/2022,4
72-4207151,Giana,Garham,ggarhamm@dell.com,151-635-9332,52316 Commercial Avenue,Female,63,Caucasian,965-237-6678,58136,7/21/2023,7
40-4253630,Konstantin,Ekkel,kekkeln@techcrunch.com,872-681-6754,1 Eastwood Plaza,Female,68,Asian,762-886-8844,40382,9/25/2014,8
14-9049908,Nickolas,Kilalea,nkilaleao@house.gov,254-183-9985,7412 Northport Avenue,Male,66,Asian,456-668-0753,77932,11/21/2021,12
08-2483795,Rhett,Tesche,rteschep@dropbox.com,918-510-0257,678 Center Trail,Male,39,Caucasian,155-469-7468,52818,1/16/2023,7
29-9843299,Anallese,Triplet,atripletq@hud.gov,700-995-6446,9 Service Hill,Female,68,Caucasian,303-579-6305,65551,11/27/2020,16
17-9261826,Hillery,MacVagh,hmacvaghr@google.ca,718-909-1746,477 Pearson Center,Male,31,Asian,471-443-7922,60957,1/6/2014,4
39-5716761,Hana,Robilart,hrobilarts@bbb.org,661-188-3623,7873 Jana Street,Female,38,Asian,423-622-0354,74731,4/15/2018,3
63-6463033,Caralie,Rajchert,crajchertt@hatena.ne.jp,373-627-6137,8606 Memorial Junction,Female,37,Caucasian,751-332-6825,53742,11/10/2014,3
